nome,categoriaPrincipal,subcategoria,endereco,instagram,motivo
Zophimodas,"Moda, Calcados & Acessorios",Moda feminina,"Avenida Vereador João de Lucca, 627 – em frente ao Colégio Emilie",zophimodas,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Doglândia Daycare,Pets,Psicologia / terapias,"Rua Lacedemônia, 425",doglandiadaycare,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Orquídea ouro,Mercados Emporios & Conveniencia,Padaria,,,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Aline Navega Nutri,Saude & Clinicas,Nutricionista,"Rua Albuquerque Sousa Muniz, 299",alinenaveganutri,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Carlaazevedogm,Saude & Clinicas,Psicologia / terapias,,carlaazevedogm,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Clínica NAV Saúde,Saude & Clinicas,Nutricionista,"Rua Albuquerque Sousa Muniz, 299",clinicanavsaude,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Curumim Clínica,Saude & Clinicas,Clinica multidisciplinar,"Rua Albuquerque Sousa Muniz, 53",curumim.clinica,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Keila Xn,Saude & Clinicas,Clínica/Estética,"Rua Ossian Terceiro Teles, 43 – Jardim Prudência",keila.xn,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Vanessapieri,Saude & Clinicas,Psicologia / terapias,,vanessapieri,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Arranjos Express Vila Mascote,Servicos para Casa,Limpeza de estofados,"Av. Mascote, 490 - Loja 2",arranjosexpress_vilamascote,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Lucianaserer,Servicos para Casa,Reformas,,lucianaserer,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
OtoClean Higienização,Servicos para Casa,Limpeza de estofados,,otocleanhigienizacao,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Restauratto,Servicos para Casa,Costura / sapataria,"Av. Mascote, 889 - sobreloja da 5àSec",restauratto,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Thermo Tagg,Servicos para Casa,Ar-condicionado,,thermo_tagg,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Minuto Pão de Açúcar,supermercado,mercado de proximidade,"Av. Mascote, 910",,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Padaria do Joaquim,"Cafes, Padarias & Doces",Padaria,,,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Colégio Emilie de Villeneuve,Educação,Colégio particular,"Rua Madre Emilie de Villeneuve, 331 - Vila Mascote",,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Jed elétrica,"Casa, Decoracao & Organizacao",Iluminação,"Rua Walter Fontana, 40 - Jardim Brasil (Zona Sul)",jedeletrica,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Borgê Presentes Personalizados,Lojas & Presentes,presentes personalizados,"Rua Fernandes Reis, 38",borgepresentes,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Natural da Terra,"Mercados, Emporios & Conveniencia",supermercado,"Rua Eng. Jorge Oliva, 381 - Vila Mascote, Sao Paulo - SP, 04362-060",naturaldaterra_,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Colégio Dominus,Educacao & Cursos,colegio particular,"Av. Mascote, 913 - Vila Mascote",,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
La Pasta Gialla,Gastronomia & Delivery,Restaurante italiano,"Av. Mascote, 986",https://www.instagram.com/lapastagiallaoficial?igsh=MXNxcXNveGU0cDBmaA==,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
